state,stay_at_home,ed_facilities,non_essential
Alabama,4/4/2020,3/19/2020,3/28/2020
Alaska,3/28/2020,3/16/2020,3/28/2020
American Samoa,,,
Arizona,3/30/2020,3/16/2020,
Arkansas,,3/17/2020,
California,3/19/2020,3/19/2020,3/19/2020
Colorado,3/26/2020,3/23/2020,3/26/2020
Connecticut,,3/17/2020,3/23/2020
Delaware,3/24/2020,3/16/2020,3/25/2020
District of Columbia,3/30/2020,3/16/2020,3/25/2020
Florida,4/3/2020,3/17/2020,
Georgia,4/3/2020,3/18/2020,
Guam,,,
Hawaii,3/25/2020,3/19/2020,3/25/2020
Idaho,3/25/2020,3/23/2020,3/25/2020
Illinois,3/21/2020,3/17/2020,3/21/2020
Indiana,3/25/2020,3/19/2020,3/24/2020
Iowa,,4/4/2020,
Kansas,3/30/2020,3/17/2020,
Kentucky,,3/20/2020,3/26/2020
Louisiana,3/23/2020,3/16/2020,3/22/2020
Maine,4/2/2020,3/16/2020,3/25/2020
Maryland,3/30/2020,3/16/2020,3/23/2020
Massachusetts,,3/17/2020,3/24/2020
Michigan,3/24/2020,3/16/2020,3/23/2020
Minnesota,3/27/2020,3/18/2020,
Mississippi,4/3/2020,3/19/2020,4/3/2020
Missouri,4/6/2020,3/23/2020,
Montana,3/26/2020,3/15/2020,3/26/2020
Nebraska,,,
Nevada,4/1/2020,3/16/2020,3/20/2020
New Hampshire,3/27/2020,3/16/2020,3/27/2020
New Jersey,3/21/2020,3/18/2020,3/21/2020
New Mexico,,3/13/2020,3/24/2020
New York,3/22/2020,3/18/2020,3/22/2020
North Carolina,3/30/2020,3/14/2020,3/30/2020
North Dakota,,3/16/2020,
Northern Mariana Islands,,,
Ohio,3/23/2020,3/16/2020,3/23/2020
Oklahoma,,3/17/2020,4/1/2020
Oregon,3/23/2020,3/16/2020,
Pennsylvania,4/1/2020,3/17/2020,3/23/2020
Puerto Rico,,,
Rhode Island,3/28/2020,3/16/2020,
South Carolina,4/17/2020,3/16/2020,
South Dakota,,3/16/2020,
Tennessee,4/2/2020,3/20/2020,4/1/2020
Texas,4/2/2020,3/19/2020,
Utah,,3/16/2020,
Vermont,3/24/2020,3/18/2020,3/25/2020
Virgin Islands,,,
Virginia,3/30/2020,3/16/2020,
Washington,3/23/2020,3/13/2020,3/25/2020
West Virginia,3/25/2020,3/14/2020,3/24/2020
Wisconsin,3/25/2020,3/18/2020,3/25/2020
Wyoming,,3/19/2020,
